iter	RMSE
0	17.45811014
1	17.21779028
2	17.12486944
3	17.03575821
4	16.81759257
5	16.63493589
6	16.60724385
7	16.60561447
8	16.60561383
9	16.54648671
10	16.52802974
11	16.52802938
12	16.4769826
13	16.47698239
14	16.30898909
15	16.26968072
16	16.26968046
17	16.20094668
18	16.20094661
19	16.19944138
20	16.12423729
21	16.10316001
22	16.00769239
23	16.0037241
24	15.95009651
25	15.76591521
26	15.76591482
27	15.76591449
28	15.76591421
29	15.7324042
30	15.73101499
31	15.59930618
32	15.58173386
33	15.54611672
34	15.25164348
35	15.18623974
36	15.18623663
37	15.1373336
38	14.83075709
39	14.83075357
40	14.83075053
41	14.52550572
42	14.43043927
43	14.38852068
44	14.38851852
45	14.38548473
46	14.38030936
47	14.34443633
48	14.32128691
49	14.29670642
50	14.26169061
51	14.2289412
52	14.20158765
53	13.93252867
54	13.93252696
55	13.93252548
56	13.93155762
57	13.93093243
58	13.91508538
59	13.90758254
60	13.82355399
61	13.82355269
62	13.82355157
63	13.81068946
64	13.81068816
65	13.69469645
66	13.69469548
67	13.57810239
68	13.57525781
69	13.49729027
70	13.44388532
71	13.42768641
72	13.42768498
73	13.37549202
74	13.37142215
75	13.37142127
76	13.35098026
77	13.34752547
78	13.31575186
79	13.3157515
80	13.31575119
81	13.30316294
82	13.29567813
83	13.28026256
84	13.23350262
85	13.23314612
86	13.14230206
87	13.06562325
88	13.06562321
89	13.06562317
90	13.06562314
91	13.00376676
92	12.99436971
93	12.9668979
94	12.88814977
95	12.878762
96	12.87812001
97	12.71444318
98	12.6910695
99	12.68856534
100	12.68856499
101	12.65327382
102	12.6504081
103	12.53972607
104	12.53284767
105	12.43622939
106	12.39656678
107	12.39458018
108	12.38583687
109	12.37496467
110	12.36723337
111	12.36723315
112	12.33747669
113	12.22556976
114	12.20290259
115	12.20290233
116	12.19745075
117	12.19609716
118	12.19609699
119	12.19609685
120	12.19609672
121	12.19529637
122	12.1936469
123	12.18622607
124	12.15394392
125	12.15394389
126	12.11116318
127	12.09350385
128	12.08787085
129	12.0656474
130	12.06466097
131	11.96922474
132	11.96854702
133	11.92969732
134	11.91750591
135	11.88267694
136	11.86850424
137	11.86850405
138	11.83697122
139	11.82099238
140	11.82038762
141	11.78678884
142	11.76235463
143	11.76222951
144	11.75907093
145	11.75907088
146	11.72117095
147	11.71709644
148	11.71709641
149	11.71709639
150	11.71523607
151	11.71523605
152	11.70456834
153	11.69847022
154	11.6812679
155	11.65794828
156	11.65794828
157	11.65794828
158	11.62894585
159	11.62417531
160	11.62181122
161	11.6090351
162	11.58474167
163	11.5816195
164	11.57865579
165	11.50687682
166	11.41688781
167	11.41479357
168	11.41479356
169	11.40609126
170	11.40073113
171	11.400731
172	11.4007309
173	11.38726762
174	11.31534431
175	11.31509725
176	11.25910568
177	11.24875933
178	11.24875924
179	11.24875916
180	11.24361473
181	11.24361468
182	11.22155502
183	11.20290863
184	11.19481187
185	11.18393439
186	11.17417697
187	11.17285974
188	11.17206518
189	11.1631925
190	11.14411034
191	11.13203576
192	11.12584871
193	11.10603981
194	11.1010074
195	11.10040057
196	11.09965351
197	11.09965347
198	11.09948684
199	11.09293694
200	11.08531721
201	11.06786714
202	11.06786712
203	11.06430353
204	11.06398186
205	11.04508327
206	11.04142442
207	11.04032302
208	10.9970747
209	10.99707469
210	10.98803724
211	10.98803724
212	10.98786766
213	10.98242995
214	10.98011177
215	10.96859921
216	10.95482686
217	10.95442924
218	10.92748542
219	10.92056649
220	10.90832236
221	10.89925116
222	10.89045776
223	10.88341928
224	10.88341927
225	10.88308193
226	10.88308192
227	10.88308192
228	10.86275256
229	10.86181551
230	10.86161248
231	10.86134126
232	10.85429271
233	10.85312238
234	10.85312238
235	10.85312238
236	10.85286315
237	10.83746961
238	10.83746961
239	10.83746961
240	10.83571522
241	10.83571522
242	10.81957949
243	10.81467349
244	10.81385726
245	10.80979865
246	10.78081778
247	10.78081778
248	10.7756837
249	10.75828129
250	10.73308045
251	10.73291455
252	10.72437029
253	10.72030677
254	10.71816434
255	10.71816426
256	10.71816419
257	10.70917937
258	10.70917932
259	10.69525306
260	10.69525305
261	10.69525304
262	10.69525303
263	10.68326143
264	10.6820368
265	10.6776525
266	10.66179763
267	10.65588621
268	10.63701258
269	10.60713822
270	10.60707348
271	10.60707347
272	10.58899053
273	10.58467963
274	10.58443575
275	10.57285833
276	10.57285831
277	10.56765369
278	10.56221735
279	10.56113349
280	10.56052229
281	10.56052158
282	10.5560594
283	10.54462189
284	10.53004864
285	10.52934809
286	10.52584721
287	10.51968782
288	10.51968781
289	10.51072262
290	10.51021764
291	10.50414024
292	10.50174646
293	10.50051751
294	10.49415482
295	10.4901793
296	10.48948856
297	10.48904888
298	10.48904888
299	10.48606127
300	10.47898473
301	10.47707229
302	10.47426449
303	10.47426447
304	10.46472598
305	10.45887225
306	10.45887215
307	10.45058169
308	10.45058155
309	10.44476731
310	10.44476723
311	10.4338399
312	10.43140666
313	10.40575093
314	10.39981924
315	10.36947997
316	10.354296
317	10.34925357
318	10.34891182
319	10.34891182
320	10.33663421
321	10.33623101
322	10.32881888
323	10.32268912
324	10.30592141
325	10.30500741
326	10.30241244
327	10.3008513
328	10.3008513
329	10.3008513
330	10.29850652
331	10.29850651
332	10.29850651
333	10.29850651
334	10.29850651
335	10.29850651
336	10.29724346
337	10.29724346
338	10.29298933
339	10.29298933
340	10.29245098
341	10.29245097
342	10.28928229
343	10.27170081
344	10.27170077
345	10.26721389
346	10.26676158
347	10.26676153
348	10.26065701
349	10.26065695
350	10.26065691
351	10.25136624
352	10.2513662
353	10.25136616
354	10.23367826
355	10.22378422
356	10.22053207
357	10.22000509
358	10.21790056
359	10.21158981
360	10.21158977
361	10.21083726
362	10.19533653
363	10.19101528
364	10.17891193
365	10.17870979
366	10.17870978
367	10.17774448
368	10.17771864
369	10.17390651
370	10.16637855
371	10.16356371
372	10.16322789
373	10.16322789
374	10.16321153
375	10.1627484
376	10.1627484
377	10.16208044
378	10.16072074
379	10.15550698
380	10.15022346
381	10.14802673
382	10.14630401
383	10.14544121
384	10.14356118
385	10.14356117
386	10.14356116
387	10.13886676
388	10.13886675
389	10.13886675
390	10.12496863
391	10.11025828
392	10.10913958
393	10.1022732
394	10.09351578
395	10.09351577
396	10.09351576
397	10.09182984
398	10.08643597
399	10.08630502
400	10.08630501
401	10.08456644
402	10.07840456
403	10.07581197
404	10.07581196
405	10.07459144
406	10.06165108
407	10.06034136
408	10.05574993
409	10.05455113
410	10.04733857
411	10.04484219
412	10.04452502
413	10.04452493
414	10.04407045
415	10.04407039
416	10.04383425
417	10.04023151
418	10.03986077
419	10.03934581
420	10.03934579
421	10.03934578
422	10.03420233
423	10.0342023
424	10.02684314
425	10.02684313
426	10.02684311
427	10.02615609
428	10.01938884
429	10.01854818
430	10.01854817
431	10.0113898
432	10.01138977
433	10.01138975
434	10.0099926
435	10.0094061
436	10.0055567
437	10.00096641
438	10.0009664
439	9.989709804
440	9.981205505
441	9.97953964
442	9.968268543
443	9.968268484
444	9.962110007
445	9.954561507
446	9.953308097
447	9.952932914
448	9.95293287
449	9.952463541
450	9.952463519
451	9.9524635
452	9.950705426
453	9.950705413
454	9.942005794
455	9.941981976
456	9.941981953
457	9.941943383
458	9.934151188
459	9.934151177
460	9.934151168
461	9.931874601
462	9.931647498
463	9.93164748
464	9.924654694
465	9.924654628
466	9.924237094
467	9.92076932
468	9.920769293
469	9.92076927
470	9.910830052
471	9.907498393
472	9.905249785
473	9.902695774
474	9.889515615
475	9.888731072
476	9.879727054
477	9.878203413
478	9.878098903
479	9.878098776
480	9.878098666
481	9.87809857
482	9.878098488
483	9.878098417
484	9.869679784
485	9.868566455
486	9.868566374
487	9.868566304
488	9.864017382
489	9.864017277
490	9.861277642
491	9.860417694
492	9.86041763
493	9.853702767
494	9.853702706
495	9.853525372
496	9.853281553
497	9.852269916
498	9.851958571
499	9.851958544
500	9.850566425
